"Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Do.Not.Call","Converted","TotalVisits","Time.on.Web","Page.Views.Per.Visit","Last.Activity","Country","Specialization","Hear.About","Occupation","Tags","Lead.Quality","Lead.Profile","City","Asymmetrique.Activity.Index","Asymmetrique.Profile.Index","Asymmetrique.Activity.Score","Asymmetrique.Profile.Score","Last.Notable.Activity","Lead.Score","Lead.Type"
660728,"API","Organic Search","No","No",0,5,674,2.5,"Email Opened","India","Select","Select","Unemployed","Ringing","Might be","Select","Select","02.Medium","02.Medium",15,15,"Email Opened",8,0
660727,"Landing Page Submission","Direct Traffic","No","No",1,2,1532,2,"Email Opened","India","Business Administration","Select","Student","Will revert after reading the email","Might be","Potential Lead","Mumbai","02.Medium","01.High",14,20,"Email Opened",63,1
660719,"Landing Page Submission","Direct Traffic","No","No",0,1,305,1,"Unreachable","India","Media and Advertising","Word Of Mouth","Unemployed","Ringing","Not Sure","Select","Mumbai","02.Medium","01.High",13,17,"Modified",0,0
660681,"Landing Page Submission","Google","No","No",1,2,1428,1,"Converted to Lead","India","Select","Other","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","01.High",15,18,"Modified",51,1
660673,"Landing Page Submission","Google","No","No",1,2,1640,2,"Email Opened","India","Supply Chain Management","Online Search","Unemployed","Will revert after reading the email","Low in Relevance","Potential Lead","Mumbai","02.Medium","01.High",14,20,"Modified",66,1
660624,"Landing Page Submission","Direct Traffic","No","No",0,2,71,2,"Email Opened","India","IT Projects Management","Multiple Sources","Unemployed","Will revert after reading the email","Not Sure","Potential Lead","Thane & Outskirts","02.Medium","02.Medium",14,14,"Email Opened",59,1
660616,"API","Google","No","No",0,4,58,4,"Email Opened","India","Finance Management","Word Of Mouth","Unemployed","Will revert after reading the email","Might be","Select","Mumbai","02.Medium","02.Medium",13,16,"Email Opened",60,1
660608,"Landing Page Submission","Organic Search","No","No",1,8,1351,8,"Email Opened","India","Travel and Tourism","Select","Unemployed","Will revert after reading the email","Might be","Select","Other Metro Cities","02.Medium","02.Medium",15,14,"Email Opened",60,1
660570,"Landing Page Submission","Direct Traffic","No","No",1,8,1343,2.67,"Page Visited on Website","India","Human Resource Management","Select","Unemployed","Lost to EINS","Might be","Select","Thane & Outskirts","02.Medium","01.High",14,17,"Page Visited on Website",75,1
660562,"API","Organic Search","No","No",1,11,1538,11,"Email Opened","India","Marketing Management","Select","Unemployed","Will revert after reading the email","Might be","Potential Lead","Select","01.High","02.Medium",16,16,"Modified",59,1
660558,"Landing Page Submission","Organic Search","No","No",0,5,170,5,"Email Opened","India","Business Administration","Select","Unemployed","Ringing","Might be","Select","Thane & Outskirts","02.Medium","01.High",14,17,"Email Opened",8,0
660547,"API","Organic Search","No","No",1,6,1012,6,"Email Opened","India","Select","Select","Unemployed","Will revert after reading the email","Might be","Select","Select","02.Medium","02.Medium",14,15,"Email Opened",60,1
660534,"API","Referral Sites","No","No",0,6,973,6,"Email Link Clicked","India","Select","Select","Unemployed","Interested in other courses","Might be","Select","Select","02.Medium","02.Medium",13,13,"Modified",7,0
